AvgPrice,City,Crime Rate,StdPrice
331193.72384937236,Santa Clarita,134.6663348800445,162099.70803255306
183545.29935275082,Palmdale,484.91585847356924,85155.72104400066
166180.39563862927,Lancaster,520.6768799439271,88828.21450625894
226707.98591549296,Inglewood,661.7594383551831,129276.95314416733
308537.7784090909,Hawthorne,673.3850369200761,160837.06727306996
236188.1265822785,Gardena,410.3646382928832,122290.26753313508
383698.66937119677,Torrance,126.7504439654588,233900.87342437136
376243.6493506493,Culver City,408.09084457061743,285245.9085501794
184782.48745519714,Los Angeles,426.0162811233072,112266.34737040046
307034.2463054187,Monterey Park,170.06802721088434,194262.24428670845
310758.2048192771,Alhambra,192.4212017471373,176160.49681100762
209523.004784689,Pico Rivera,324.90974729241884,120659.49227508508
310520.903030303,Rosemead,272.9587630754575,197076.59941876237
340260.07446808513,San Gabriel,255.66559932484424,244271.05945189204
394212.73956262425,Glendale,92.64662223723677,266328.3760877995
372291.7813765182,Burbank,163.28167521269586,241731.5808143672
348415.95,Monrovia,153.75900299425427,248123.99553355016
172375.83699059562,Compton,1268.5507675651386,94221.07134448526
221460.92125984252,Lynwood,613.4192495462668,102492.12654742936
245606.37362637362,South Gate,518.8773001642414,104749.09269345563
321284.47572815535,Downey,287.92990761512783,164626.78091052314
270253.38823529414,Bellflower,359.5638838054488,151987.30173929152
239694.2588235294,Paramount,404.60742144783853,126294.70001260616
222656.26086956522,Maywood,403.69088811995385,150665.21973285454
352101.27876106196,Cerritos,164.60574915689742,205683.90843153014
217322.00980392157,Norwalk,382.0950449689254,120110.22339328518
289288.7817679558,Lakewood,277.4831660212614,164206.3833231221
316192.0,Cypress,101.90148164754316,0.0
315172.13391442155,Long Beach,499.5049663057712,240868.7522738059
295594.3230769231,La Mirada,146.49033570701934,158247.83313888384
255567.3018018018,El Monte,294.14054727444176,143088.98789628674
295498.7849056604,Whittier,257.95257374204743,170098.17845662887
317338.431122449,West Covina,214.15261386707704,215729.00864544924
259180.80902777778,Covina,284.39535075426585,154440.3193800217
426846.48360655736,Diamond Bar,109.50387679047672,347509.93167485093
213423.39847715737,Pomona,534.4661284568529,105387.00524302076
352761.7734375,La Verne,117.68822163554822,212940.21159251686
333632.3653846154,San Dimas,192.00094523542268,224234.27434719683
216662.35265700484,Baldwin Park,286.66362629487264,104701.0028593098
230460.29487179487,Azusa,515.1400929765045,130310.3831477683
291596.4,La Habra,142.53320375769354,133855.047484359
