AvgPrice,City,Crime Rate,StdPrice
331193.72384937236,Santa Clarita,1323.7310381505824,162099.70803255306
183545.29935275082,Palmdale,2136.4408837096385,85155.72104400066
166180.39563862927,Lancaster,2187.218383899069,88828.21450625894
226707.98591549296,Inglewood,2433.91360412637,129276.95314416733
308537.7784090909,Hawthorne,2602.981470301398,160837.06727306996
236188.1265822785,Gardena,2229.368708440112,122290.26753313508
383698.66937119677,Torrance,1888.3782721271032,233900.87342437136
376243.6493506493,Culver City,4096.116800162223,285245.9085501794
184782.48745519714,Los Angeles,2213.201503071241,112266.34737040046
307034.2463054187,Monterey Park,1900.18315018315,194262.24428670845
310758.2048192771,Alhambra,2094.2037539841813,176160.49681100762
209523.004784689,Pico Rivera,2387.3803170616857,120659.49227508508
310520.903030303,Rosemead,1954.6778537014304,197076.59941876237
340260.07446808513,San Gabriel,1797.1057661280313,244271.05945189204
394212.73956262425,Glendale,1636.927612788305,266328.3760877995
372291.7813765182,Burbank,2320.3185424962044,241731.5808143672
348415.95,Monrovia,2174.2062528661213,248123.99553355016
172375.83699059562,Compton,2592.255916328761,94221.07134448526
221460.92125984252,Lynwood,2149.781223180494,102492.12654742936
245606.37362637362,South Gate,2822.441443232103,104749.09269345563
321284.47572815535,Downey,2907.562134567487,164626.78091052314
270253.38823529414,Bellflower,2425.4452663865763,151987.30173929152
239694.2588235294,Paramount,2976.2338703798205,126294.70001260616
222656.26086956522,Maywood,1153.4025374855823,150665.21973285454
352101.27876106196,Cerritos,3617.3117070820617,205683.90843153014
217322.00980392157,Norwalk,2108.563810811318,120110.22339328518
289288.7817679558,Lakewood,2542.9790592704044,164206.3833231221
316192.0,Cypress,1903.519677176106,0.0
315172.13391442155,Long Beach,2767.7174156047395,240868.7522738059
295594.3230769231,La Mirada,1711.0885045778232,158247.83313888384
255567.3018018018,El Monte,1887.6902180965646,143088.98789628674
295498.7849056604,Whittier,2756.5066512434933,170098.17845662887
317338.431122449,West Covina,3124.217786718829,215729.00864544924
259180.80902777778,Covina,2769.7634160415464,154440.3193800217
426846.48360655736,Diamond Bar,1564.8457231671343,347509.93167485093
213423.39847715737,Pomona,2902.8976124096557,105387.00524302076
352761.7734375,La Verne,2395.114348420752,212940.21159251686
333632.3653846154,San Dimas,2085.4256513262835,224234.27434719683
216662.35265700484,Baldwin Park,1785.1325819271613,104701.0028593098
230460.29487179487,Azusa,2299.2838296268383,130310.3831477683
291596.4,La Habra,1870.7482993197282,133855.047484359
