AvgPrice,City,Crime Rate,StdPrice
331193.72384937236,Santa Clarita,2925.089411615459,162099.70803255306
183545.29935275082,Palmdale,5260.602343440539,85155.72104400066
166180.39563862927,Lancaster,5446.455392009611,88828.21450625894
226707.98591549296,Inglewood,6211.942116197435,129276.95314416733
308537.7784090909,Hawthorne,6559.699066549018,160837.06727306996
236188.1265822785,Gardena,5291.191397417215,122290.26753313508
383698.66937119677,Torrance,4034.32429134979,233900.87342437136
527867.7864768683,Redondo Beach,5143.176503463592,334993.9172451916
376243.6493506493,Culver City,9010.950015208356,285245.9085501794
890596.5625,Manhattan Beach,5107.152797105483,849189.5978348614
643799.5405405406,Hermosa Beach,5801.188437909155,463385.9856222307
861571.2105263158,Santa Monica,8387.03399359917,1172076.3865894973
1463565.6813186812,Malibu,5872.314017531611,1967574.381148781
184782.48745519714,Los Angeles,5315.303353550457,112266.34737040046
307034.2463054187,Monterey Park,4140.502354788069,194262.24428670845
310758.2048192771,Alhambra,4581.513398654232,176160.49681100762
209523.004784689,Pico Rivera,5441.845864071574,120659.49227508508
310520.903030303,Rosemead,4460.76904757543,197076.59941876237
490968.0238611714,Pasadena,6081.163715891024,644583.7496909706
340260.07446808513,San Gabriel,4108.0249211904575,244271.05945189204
701751.8387096775,Arcadia,5518.969838389076,848216.118520471
394212.73956262425,Glendale,3461.707769007913,266328.3760877995
372291.7813765182,Burbank,4972.929617004211,241731.5808143672
348415.95,Monrovia,4655.930511720752,248123.99553355016
172375.83699059562,Compton,7761.447087542259,94221.07134448526
221460.92125984252,Lynwood,5543.284044064888,102492.12654742936
245606.37362637362,South Gate,6688.914228326935,104749.09269345563
321284.47572815535,Downey,6398.933069544788,164626.78091052314
270253.38823529414,Bellflower,5586.772173106167,151987.30173929152
239694.2588235294,Paramount,6774.440475322592,126294.70001260616
222656.26086956522,Maywood,3121.3956170703573,150665.21973285454
352101.27876106196,Cerritos,7575.879235586959,205683.90843153014
217322.00980392157,Norwalk,4990.705796203459,120110.22339328518
289288.7817679558,Lakewood,5652.023777224182,164206.3833231221
316192.0,Cypress,4023.0704954450043,0.0
315172.13391442155,Long Beach,6555.097782461968,240868.7522738059
633829.0192307692,Rancho Palos Verdes,2867.754219359692,493511.88759578567
295594.3230769231,La Mirada,3721.261444557477,158247.83313888384
255567.3018018018,El Monte,4373.1778425655975,143088.98789628674
295498.7849056604,Whittier,6033.545401966455,170098.17845662887
317338.431122449,West Covina,6678.594936356812,215729.00864544924
259180.80902777778,Covina,6126.8650564669015,154440.3193800217
426846.48360655736,Diamond Bar,3350.4653914763594,347509.93167485093
213423.39847715737,Pomona,6885.958537584398,105387.00524302076
352761.7734375,La Verne,5028.785902859507,212940.21159251686
333632.3653846154,San Dimas,4557.807053819342,224234.27434719683
216662.35265700484,Baldwin Park,4154.016548309336,104701.0028593098
230460.29487179487,Azusa,5641.412237718307,130310.3831477683
481678.5187969925,Walnut,3302.6189768486406,318047.9258795201
496253.5,Thousand Oaks,2714.068464665901,197332.5
291596.4,La Habra,4026.563006154843,133855.047484359
